folds:,0
ArrowHead,0.846
Beef,0.733
BeetleFly,0.750
BirdChicken,0.800
Car,0.767
CBF,0.991
Coffee,1.000
DiatomSizeReduction,0.925
DistalPhalanxOutlineAgeGroup,0.779
DistalPhalanxOutlineCorrect,0.719
DistalPhalanxTW,0.626
Earthquakes,0.741
ECG200,0.880
ECGFiveDays,0.663
FaceFour,0.955
GunPoint,0.987
Ham,0.667
Herring,0.625
ItalyPowerDemand,0.960
MiddlePhalanxOutlineAgeGroup,0.780
MiddlePhalanxOutlineCorrect,0.571
MiddlePhalanxTW,0.507
MoteStrain,0.866
Plane,1.000
ProximalPhalanxOutlineAgeGroup,0.849
ProximalPhalanxTW,0.776
ShapeletSim,0.950
SonyAIBORobotSurface1,0.810
SonyAIBORoboSurface2,0.875
Symbols,0.932
SyntheticControl,0.997
ToeSegmentation1,0.934
ToeSegmentation2,0.915
TwoLeadECG,0.996
Wine,0.500
